Groupe,Median Alpha
CTR,43.7675
CTR,51.4713
CTR,44.0945
CTR,41.3602
CTR,47.018
CTR,46.3532
CTR,39.8141
CTR,39.1465
CTR,42.1563
CTR,42.7689
CTR,48.0931
CTR,40.1497
CTR,49.1674
CTR,44.5363
CTR,50.6557
CTR,45.9002
HYT,41.8616
HYT,38.2812
HYT,39.5922
HYT,39.8767
HYT,42.1571
HYT,51.7082
HYT,49.7697
HYT,45.3706
HYT,46.0987
HYT,41.8915
HYT,41.6753
HYT,42.3512
HYT,45.1963
HYT,47.6247
HYT,49.2836
HYT,38.7186
ISY,44.6034
ISY,41.2799
ISY,44.9385
ISY,47.3134
ISY,52.0497
ISY,42.1053
ISY,42.5792
ISY,41.6404
ISY,48.7654
ISY,45.3226
ISY,52.0105
ISY,40.8908
ISY,38.8856
ISY,45.3914
ISY,43.7383
ISY,38.5146
VIP,47.6239
VIP,48.4188
VIP,49.5007
VIP,51.3605
VIP,50.5026
VIP,40.6713
VIP,46.3786
VIP,48.5634
VIP,50.9932
VIP,54.4522
VIP,52.9277
VIP,47.0338
VIP,48.7572
VIP,41.3812
VIP,49.4688
VIP,44.3237
