e0_60,e1_60,e2_60,e3_60,e4_60,e0_97,e1_97,e2_97,e3_97,e4_97
-1.00147243,1.002700809,-0.983953582,-1.001025031,0.970431984,-1.000626314,1.004235012,-0.990234717,-0.999529482,0.95526453
0.339317058,-0.349220959,0.33454094,0.320025853,-0.3267699,0.986600051,-0.987445077,0.978465285,0.979215959,-0.939170311
0.027153656,0.218327924,-0.114136212,-0.347636744,0.167652768,-0.969830645,0.970551501,-0.955699998,-0.946089292,0.923775842
-0.048399837,-0.261111899,-0.04431042,0.145035321,0.12679982,0.945452898,-0.943967438,0.94238341,0.930984365,-0.912687517
0.021090721,0.118965382,0.07813058,-0.040999568,0.057118971,-0.920247031,0.928887589,-0.91829199,-0.925098652,0.898746371
-0.110169222,-0.099673698,-0.015352932,0.026100106,0.011863997,0.89835364,-0.910853956,0.900444448,0.90619145,-0.888411623
-0.061303005,0.071254767,0.024258726,0.074236829,0.083638493,-0.858241635,0.914377769,-0.862815418,-0.884888294,0.868118912
0.075708953,-0.014105747,-0.008851157,-0.108307626,0.006817772,0.825479185,-0.908625662,0.843310209,0.850251134,-0.851001984
-0.049125316,0.083337998,0.004753399,-0.067724826,0.035323574,-0.788420868,0.903080838,-0.807946656,-0.836344184,0.831355196
0.045808839,-0.053933739,-0.014314834,0.009846148,0.005636741,0.779208046,-0.889555613,0.774848582,0.805300955,-0.808747933
-0.002901917,0.046102975,-0.006228592,-0.14243052,-0.010038766,-0.744116511,0.879295097,-0.747994384,-0.807228135,0.78646363
-0.000725479,-0.050459161,-0.009506798,0.035321102,0.025929006,0.733350967,-0.84783988,0.732799108,0.769726247,-0.771230641
0.01098583,0.053259567,-0.011856179,-0.003386241,0.020131216,-0.698932278,0.852192826,-0.690860145,-0.782226877,0.740064914
-0.020727982,-0.025048073,-0.001475193,-0.012034181,0.000536832,0.705712501,-0.828821651,0.661574704,0.743995785,-0.726123768
0.01171131,0.026655713,-0.006720323,-0.007293443,0.008750369,-0.677970521,0.833951909,-0.643506139,-0.755975555,0.705400443
-0.019639763,-0.006586139,-0.001420556,0.004271874,0.003220995,0.692928417,-0.828925293,0.616596686,0.73633915,-0.684946252
0.005492915,0.01628384,-0.007758421,-0.010054532,-0.002201013,-0.672328962,0.822603157,-0.595489065,-0.747173029,0.66621452
0.006892054,0.001918796,0.003879211,-0.017191687,0.009233518,0.682266387,-0.801771201,0.582117222,0.714306791,-0.648505497
-0.006788414,0.003993171,-0.000382457,-0.033758221,0.00397256,-0.681386511,0.791355223,-0.574712979,-0.726182389,0.612010915
-0.003679217,-0.007052874,-0.001639103,-0.015368326,-0.004348343,0.687597402,-0.768502256,0.55631288,0.707796046,-0.597639154
-0.003109197,0.012705544,-0.002130834,-0.013961733,0.00579779,-0.681438268,0.755236135,-0.552887036,-0.707483531,0.574816584
0.001658239,-0.008297498,0.005791498,0.025579146,-0.004992542,0.693187204,-0.749535849,0.52315955,0.706441812,-0.549787114
0.004922896,0.001711359,-0.003278206,-0.017139591,0.004563076,-0.693497749,0.748188508,-0.541062348,-0.703524998,0.555546583
-0.007047514,-0.010320013,0.005354403,0.00484493,0.006495672,0.699191066,-0.727667477,0.53222146,0.686284547,-0.543704683
-0.001606419,0.008816092,-0.010326349,-0.010835972,0.002576796,-0.70131312,0.737668889,-0.518849617,-0.65508506,0.532185744
-0.006011115,0.006586139,0.006884233,-0.006564099,0.001771547,0.709076734,-0.723314531,0.529182405,0.63331313,-0.531647476
,,,,,-0.705816016,0.714297714,-0.497299953,-0.629562942,0.532347225
,,,,,0.688943095,-0.691289285,0.521833417,0.619770782,-0.507317755
,,,,,-0.688063219,0.679629608,-0.51558954,-0.615708077,0.497144486
,,,,,0.671604358,-0.672115594,0.507466974,0.590290131,-0.490254654
,,,,,-0.668809457,0.667762648,-0.506748652,-0.583987731,0.486809737
,,,,,0.658147427,-0.661647796,0.488956365,0.576591525,-0.476636469
,,,,,-0.641947353,0.651076355,-0.499178641,-0.569612007,0.461241999
,,,,,0.628956239,-0.649055345,0.466854144,0.559559418,-0.465225183
,,,,,-0.611358714,0.639831245,-0.478181532,-0.560236535,0.453490937
,,,,,0.592674283,-0.625114142,0.429335626,0.538725036,-0.451714652
,,,,,-0.580511288,0.620087525,-0.440165714,-0.539818841,0.43077602
,,,,,0.566329753,-0.611640737,0.418892327,0.532058033,-0.424478283
,,,,,-0.552096461,0.608479669,-0.423920582,-0.521901272,0.399987081
,,,,,0.539105347,-0.601898429,0.40060274,0.512942488,-0.396972779
,,,,,-0.528132773,0.597027276,-0.386678341,-0.509661072,0.381793616
,,,,,0.52357812,-0.590912423,0.373417009,0.500077257,-0.378671661
,,,,,-0.519230496,0.578734538,-0.373803798,-0.490649699,0.34519138
,,,,,0.521663095,-0.557539837,0.357282388,0.474138451,-0.332703559
,,,,,-0.500753095,0.562981019,-0.377450664,-0.476794835,0.330981101
,,,,,0.500597823,-0.546916575,0.340042656,0.460023157,-0.329527777
,,,,,-0.510224704,0.531888548,-0.349546611,-0.448772591,0.313218251
