A_0_60,A_60,A_0_97,A_97
0.992086274,0.986446373,0.992278473,0.985505422
0.964570945,-0.336031089,0.975771406,-0.968492353
0.926837642,0.134503842,0.958539438,0.94702813
0.875604193,-0.077730052,0.941310889,-0.927325398
0.8080693,0.041700298,0.925193914,0.906390201
0.747582431,-0.024982589,0.907981706,-0.890107407
0.667469878,0.040089102,0.891123925,0.870955858
0.610153803,-0.030084371,0.876163651,-0.848402775
0.532219978,0.025226,0.858169324,0.832788536
0.474032677,-0.020194332,0.845104692,-0.813442586
0.407114739,0.02467597,0.82683087,0.795757704
0.35835791,-0.010175674,0.812577678,-0.777381878
0.301405887,0.012594332,0.791046855,0.755804685
0.259119554,-0.002495844,0.780348453,-0.73821579
0.218833879,0.005332506,0.764808203,0.724248509
0.191540556,-0.00423275,0.748361194,-0.706162192
0.157912227,0.004361307,0.732144747,0.697126732
0.143140572,-0.001312277,0.72180513,-0.674092072
0.117342792,0.002889099,0.705266457,0.660838941
0.09814838,-0.001638329,0.694144983,-0.643643066
0.081629875,0.003314468,0.676834066,0.63066215
0.070663353,-0.001679436,0.666775913,-0.616231323
0.055116807,0.001748416,0.645347365,0.607785676
0.047978194,-0.000380559,0.640860059,-0.587838572
0.04084359,0.002071434,0.626095305,0.583011192
0.031414727,8.72E-05,0.615211831,-0.569503855
,,0.6001576,0.561377656
,,0.58958168,-0.548098472
,,0.578619623,0.536279343
,,0.570918119,-0.522852186
,,0.557872256,0.518691714
,,0.551882074,-0.508892477
,,0.537899521,0.504672387
,,0.532847269,-0.49588233
,,0.51889299,0.489516328
,,0.511427604,-0.479042202
,,0.502756728,0.47295331
,,0.495792135,-0.465924998
,,0.485196686,0.456870495
,,0.477076615,-0.446886108
,,0.468269649,0.441457048
,,0.458384335,-0.431480451
,,0.448235348,0.423190731
,,0.444961652,-0.413040565
,,0.43225212,0.411380283
,,0.43054466,-0.400235236
,,0.420913119,0.396819271
,,0.414160945,-0.390464156
,,0.404529252,0.385601676
,,0.397276189,-0.377309171
,,0.395480685,0.36985602
,,0.383820553,-0.364192481
,,0.374893383,0.360036886
,,0.372322074,-0.354231865
,,0.369545545,0.350000495
,,0.364329518,-0.343733853
,,0.359321306,0.341993466
,,0.351323801,-0.335089073
,,0.346502972,0.329219883
,,0.340270883,-0.322550723
,,0.332621076,0.317777129
,,0.329618831,-0.310631513
,,0.31830553,0.309144215
,,0.321170869,-0.299188953
,,0.317307074,0.30001994
,,0.312798493,-0.293376428
,,0.303674327,0.289307222
,,0.29953452,-0.282835774
,,0.288270226,0.277911599
,,0.290861657,-0.27308813
,,0.283822784,0.271631701
,,0.277723787,-0.262162581
,,0.269134759,0.260957185
,,0.272225077,-0.253765963
,,0.264553403,0.256062069
,,0.264380406,-0.24793207
,,0.258471677,0.245700559
,,0.255235477,-0.240565008
,,0.249251,0.238953022
,,0.246094702,-0.233177061
,,0.243696845,0.231163115
,,0.238004202,-0.226968695
,,0.235257941,0.220774718
,,0.235272045,-0.218643145
,,0.229857323,0.215532512
,,0.230344667,-0.211281716
,,0.224251718,0.209276842
,,0.227163589,-0.205715086
,,0.220258014,0.201924032
,,0.217481055,-0.198283277
,,0.212174118,0.19704611
,,0.215154586,-0.193515518
,,0.209481695,0.191752379
,,0.202626921,-0.185233879
,,0.19880198,0.182236396
,,0.201683113,-0.181799626
,,0.191928458,0.178395296
,,0.196442739,-0.175329624
,,0.187094052,0.171760901
,,0.190251683,-0.171196696
,,0.17728457,0.167396652
