prethermal_autocorrelators,mbl_autocorrelators,energies_mbl,energies_prethermal
0.13841247,0.412724235,-0.324854248,0.5
0.154593868,0.393183454,-0.11535526,-0.5
0.125841619,0.394205972,0.642966949,-0.3
0.151399254,0.383854487,0.096603808,-0.3
0.135452628,0.41164393,-0.336285354,-0.1
0.132137286,0.385407383,0.507062903,-0.3
0.13720551,0.40536914,0.715430038,0.5
0.130211438,0.393610616,0.3400494,-0.1
0.201430235,0.397634382,-0.177527172,-0.9
0.135873493,0.38465596,-0.15090103,-0.3
0.147524393,0.398550489,-0.569546449,-0.1
0.144696501,0.396938377,-0.799232271,0.3
0.132965284,0.410738739,-1.312082378,0.3
0.142916902,0.389722623,-0.648197622,0.1
0.123964265,0.393136075,-1.057941338,0.3
0.157726288,0.398235844,-0.479845807,0.7
0.14778642,0.398360814,-0.270911324,0.9
0.157697211,0.379755739,0.384621572,-0.3
0.149422847,0.388495515,-0.579092697,-0.3
0.144909734,0.387612568,0.49728073,-0.1
0.130528018,0.399480701,-0.076170936,0.1
0.128610123,0.411810421,1.133111472,0.5
0.16006777,0.385503529,-0.745670072,-0.7
0.167206084,0.42065564,0.542952019,0.5
0.178122216,0.379312887,-0.754635367,-0.5
0.139296772,0.400716862,0.045394248,-0.1
0.164786826,0.387313794,0.305128217,-0.7
0.120471082,0.389172564,-0.132641468,0.3
0.158677941,0.406569145,-0.489663586,0.9
0.165488671,0.3826857,0.749635931,-0.7
0.143523201,0.409333752,0.172720327,0.1
0.146701024,0.368371788,-0.093489769,-0.3
0.135081056,0.393333583,-0.410519997,1.1
0.112338879,0.379073102,-0.499244594,0.1
0.155983586,0.373394534,0.952564318,-0.9
0.130112862,0.388559845,0.464967317,0.1
0.161600219,0.400663981,-0.247387446,-0.7
0.111172486,0.37780011,0.303146184,-0.1
0.139659483,0.394023996,-0.22181784,-0.1
0.113184651,0.358239169,-0.299304911,-0.1
0.14167032,0.400007238,-0.814406192,0.1
