A_0,A,A_divided_A_0
1,1,1
0.933692674,-0.816903597,-0.874917004
0.945898071,0.900340366,0.95183656
0.927063807,-0.915176796,-0.987177786
0.916740575,0.830554297,0.905986186
0.850441868,-0.669939604,-0.787754729
0.860050986,0.722133945,0.839640854
0.842338443,-0.708449949,-0.841051426
0.809951474,0.607063513,0.74950603
0.762003799,-0.495471656,-0.650222029
0.775384702,0.517391023,0.667270094
0.743013723,-0.499627263,-0.672433425
0.7157682,0.448905373,0.627165851
0.672748589,-0.385342077,-0.57278764
0.664560376,0.415198994,0.624772419
0.651254594,-0.416697343,-0.639837856
0.619002816,0.409333235,0.661278469
0.593492106,-0.35508745,-0.598301892
0.574345115,0.397686808,0.692417848
0.58306649,-0.404601411,-0.69391985
0.535055524,0.399568993,0.746780429
0.529842226,-0.369571491,-0.69751234
0.510096744,0.405481923,0.794911804
0.511040578,-0.418741387,-0.819389702
0.477601329,0.411682498,0.861979381
0.468162096,-0.36963161,-0.789537669
0.448695803,0.394592995,0.879422077
0.455326752,-0.401344815,-0.881443519
0.421591932,0.374628881,0.888605433
0.415143475,-0.342012967,-0.823842811
0.403487971,0.350011561,0.867464675
0.405698737,-0.35062015,-0.864237717
0.376951257,0.316639999,0.840002502
0.368112143,-0.289014882,-0.785127269
0.355786568,0.283634699,0.797204628
0.364020895,-0.281118027,-0.772257942
0.334115831,0.252425568,0.755503167
0.326795364,-0.230066871,-0.70400898
0.310400701,0.227198735,0.731953033
0.317830701,-0.225341522,-0.708998599
0.289039843,0.207808988,0.718963123
0.288456311,-0.191503806,-0.663891892
0.271647885,0.193664388,0.712924336
0.279226374,-0.194013078,-0.694823613
0.256094747,0.185282883,0.723493492
0.257747411,-0.176462046,-0.684631693
0.237164659,0.179675173,0.757596741
0.252798901,-0.183189819,-0.724646421
0.226648232,0.175497369,0.774316071
0.228806604,-0.169913706,-0.7426084
0.215024781,0.173888956,0.808692631
0.222041084,-0.177114106,-0.797663667
0.19943943,0.170697102,0.855884427
0.205122656,-0.165527798,-0.806969844
0.191197308,0.166725552,0.872007842
0.201998557,-0.169866536,-0.840929454
0.186775139,0.161272302,0.863457005
0.187456929,-0.1548368,-0.825986007
0.177774173,0.153902644,0.865719931
0.182607231,-0.155533255,-0.851736563
0.166942608,0.142521666,0.853716544
0.164537588,-0.135870661,-0.825772776
0.158614402,0.131258151,0.827529839
0.166717528,-0.13156522,-0.789150495
0.15189501,0.122094174,0.803806351
0.153866242,-0.116767636,-0.75889054
0.143115702,0.112562084,0.786511076
0.148970048,-0.112563009,-0.75560833
0.136895434,0.102379785,0.747868519
0.128755048,-0.10019793,-0.778205837
0.126609703,0.097961505,0.773728261
0.129775481,-0.096741553,-0.745453242
0.117514894,0.090737058,0.77213241
0.123233864,-0.088345249,-0.716891011
0.115214676,0.087597925,0.760301793
0.116919379,-0.089028755,-0.761454227
0.10720186,0.082842054,0.772766946
0.110042752,-0.080136701,-0.728232433
0.100095563,0.078721594,0.786464373
0.100608864,-0.080365153,-0.798787998
0.099429635,0.075474246,0.759071943
0.10280512,-0.073151805,-0.711557991
0.091969494,0.073109259,0.79492945
0.097611898,-0.072873408,-0.746562761
0.083318328,0.070775719,0.849461589
0.079285953,-0.066467503,-0.838326353
0.081477942,0.066966953,0.821902858
0.084351951,-0.06680047,-0.791925603
0.076416707,0.062073271,0.812299743
0.087087001,-0.060302999,-0.692445469
0.066405745,0.058924888,0.887346244
0.074133567,-0.059141317,-0.797767045
0.076296916,0.054111673,0.709224906
0.066940061,-0.053737086,-0.802764223
0.06850396,0.05399421,0.78819108
0.063401737,-0.053243186,-0.83977488
0.058116936,0.050517485,0.869238629
0.065998522,-0.050263136,-0.761579718
0.054030317,0.047284011,0.875138517
0.063666938,-0.047321932,-0.743273259
0.05841438,0.043832259,0.750367615
