K_2,K_0,K_20
0.401515,0.40535,0.41
0.38741,0.411895,0.397983333
0.382835,0.41432,0.394688889
0.38294,0.40567,0.408433333
0.403405,0.451445,0.399822222
0.38598,0.372405,0.397194444
0.386905,0.359205,0.404172222
0.384385,0.41419,0.394272222
0.3962,0.376075,0.391072222
0.407175,0.41245,0.405544444
0.405675,0.401865,0.392866667
0.40034,0.43829,0.394327778
0.39086,0.44156,0.406911111
0.394605,0.41384,0.396838889
0.393635,0.401705,0.397744444
0.403595,0.401445,0.400794444
0.38444,0.399915,0.392327778
0.385145,0.379715,0.389922222
0.38277,0.38122,0.400283333
0.39174,0.37975,0.389761111
0.38149,0.443215,0.392266667
0.400355,0.436065,0.407833333
0.40079,0.404625,0.394583333
0.401355,0.405665,0.394338889
0.389795,0.45374,0.407061111
0.385865,0.399295,0.397155556
0.387615,0.37742,0.397277778
0.378315,0.424755,0.406122222
0.410994444,0.417295,0.395438889
0.4159,0.451305,0.394327778
0.38417,0.376755,0.402055556
0.398333333,0.394765,0.394416667
0.399405556,0.432435,0.393816667
0.399933333,0.409385,0.402866667
0.398938889,0.376465,0.394527778
0.404183333,0.41321,0.392466667
0.416566667,0.413375,0.404072222
0.40455,0.424,0.395794444
0.395072222,0.40723,0.395283333
0.396116667,0.409155,0.407533333
0.395077778,0.445865,0.396111111
0.427455556,0.449375,0.394922222
0.410066667,0.412955,0.404161111
0.394616667,0.37848,0.390927778
0.37759,0.38838,0.394688889
0.413333333,0.451825,0.40405
0.398422222,0.45177,0.391961111
0.402111111,0.43673,0.392016667
0.38145,0.412595,0.398127778
0.404872222,0.408915,0.388566667
0.406227778,0.43186,0.389683333
0.38069,0.369665,0.404144444
0.386155,0.40739,0.395183333
0.37459,0.43995,0.389722222
0.406616667,0.420545,0.404477778
0.37743,0.38337,0.394
0.38577,0.431295,0.393216667
0.375825,0.408925,0.403672222
0.41075,0.40794,0.394683333
0.415716667,0.3775,0.392533333
0.413416667,0.441315,0.40465
0.378175,0.396765,0.394238889
0.405722222,0.44286,0.394266667
0.383485,0.40371,0.405983333
0.406705,0.39812,0.396411111
0.37342,0.406385,0.397433333
0.379335,0.362,0.408416667
0.38907,0.38215,0.397055556
0.397272222,0.451865,0.397694444
0.3943,0.41917,0.407705556
0.411883333,0.42093,0.398472222
0.42535,0.43551,0.394477778
0.396688889,0.38636,0.409755556
0.395644444,0.422485,0.397588889
0.390005556,0.37024,0.396055556
0.405733333,0.396565,0.406394444
0.409588889,0.46915,0.394988889
0.413727778,0.41769,0.396966667
0.408988889,0.416735,0.407861111
0.41425,0.418075,0.395788889
0.401272222,0.47337,0.393894444
0.396933333,0.389265,0.407788889
0.425566667,0.40657,0.398466667
0.417816667,0.408895,0.396305556
0.386205,0.396195,0.404311111
0.380465,0.37779,0.394361111
0.397295,0.403605,0.393061111
0.38304,0.382535,0.406505556
0.37763,0.423985,0.395938889
0.402311111,0.415615,0.394755556
0.40364,0.426085,0.403005556
0.377035,0.399445,0.387755556
0.39968,0.395055,0.388972222
0.38167,0.36066,0.404322222
0.3728,0.399095,0.392338889
0.37885,0.40859,0.3898
0.405883333,0.431395,0.403094444
0.38857,0.41779,0.392172222
0.390025,0.41396,0.392461111
0.406094444,0.43271,0.4067
0.410794444,0.40176,0.394444444
0.414572222,0.41383,0.396505556
0.406361111,0.4013,0.402088889
0.415311111,0.38444,0.391088889
0.37692,0.449005,0.393094444
0.413994444,0.404665,0.407994444
0.378515,0.44316,0.393672222
0.377735,0.41373,0.394755556
0.417477778,0.40052,0.403038889
0.39043,0.41587,0.395127778
0.3912,0.413745,0.390783333
0.413311111,0.41479,0.404894444
0.39205,0.42427,0.393894444
