ancilla_prethermal_n,ancilla_prethermal_s,ancilla_prethermal_sn
1,1,1
0.911434603,-0.843001576,-0.924917238
0.90971368,0.864015634,0.949766562
0.919118173,-0.773373408,-0.841429787
0.857277357,0.69009101,0.804979863
0.7967898,-0.510407496,-0.640579857
0.805655385,0.494543915,0.613840513
0.815208689,-0.389403532,-0.477673431
0.768925672,0.339393158,0.441386171
0.708046761,-0.234202307,-0.330772373
0.721250312,0.213418156,0.295900261
0.722942305,-0.169962935,-0.235098891
0.676487059,0.147014293,0.217320186
0.629189231,-0.104632906,-0.166297992
0.623017598,0.10413384,0.167144299
0.609784034,-0.08377025,-0.137376916
0.57738,0.077798276,0.134743629
0.539656095,-0.053010379,-0.098229928
0.522454002,0.059461793,0.113812495
0.522338763,-0.044125316,-0.084476434
0.473011085,0.046867377,0.099083042
0.438708237,-0.027019677,-0.061589171
0.415778983,0.036625302,0.088088392
0.413989682,-0.027305659,-0.065957341
0.37296063,0.030869217,0.08276803
0.353708756,-0.017237415,-0.048733358
0.329560078,0.024117802,0.073181807
0.335831124,-0.016749564,-0.04987496
0.292550265,0.017329939,0.059237475
0.279517823,-0.012176658,-0.043563084
0.253826098,0.016051432,0.06323791
0.26294903,-0.011088806,-0.042170932
0.223723215,0.014447691,0.064578415
0.220727006,-0.008806559,-0.039897966
0.197033318,0.013979465,0.070949754
0.20767001,-0.012518715,-0.060281766
0.175369677,0.017307509,0.098691571
0.171442103,-0.011582265,-0.067557878
0.150734895,0.017730874,0.117629526
0.166740873,-0.016822461,-0.100889848
0.129767035,0.020055178,0.154547552
0.133999004,-0.012367313,-0.092294066
0.116548592,0.018712185,0.160552643
0.136104279,-0.015947693,-0.117172608
0.109578645,0.012832734,0.11710981
0.108904737,-0.013045819,-0.119791105
0.094425713,0.015911245,0.168505423
0.102212236,-0.011397218,-0.111505413
0.087425964,0.011318713,0.129466262
0.087135111,-0.008360763,-0.095951714
0.077551639,0.008038333,0.10365136
