prethermal_list_0,prethermal_list_5,prethermal_list_20
0.386875,0.2207875,0.17935
0.29103125,0.20111875,0.1774375
0.35395625,0.22561875,0.1784
0.23003125,0.17524375,0.17911875
0.0603,0.21045625,0.180175
0.00394375,0.175775,0.17794375
0.06830625,0.208,0.1791375
0.0324375,0.2071875,0.1764
-0.02748125,0.1733125,0.18300625
-0.05735625,0.17865,0.183475
0.45813125,0.1791,0.18205
0.23159375,0.1937875,0.18363125
0.30845,0.1927375,0.181575
0.04408125,0.21488125,0.1805375
0.08419375,0.20711875,0.17849375
-0.03199375,0.17269375,0.1796625
0.25098125,0.18125625,0.18165625
0.0753625,0.20540625,0.1804625
0.3115375,0.202575,0.17836875
0.29681875,0.1941,0.183
0.365575,0.22853125,0.17884375
0.036475,0.18490625,0.17996875
0.4019125,0.18075625,0.1787
0.0664875,0.2153375,0.17695625
0.3467,0.22498125,0.18204375
0.37914375,0.22729375,0.17885
0.41241875,0.22335,0.17854375
-0.0149375,0.18328125,0.1833875
-0.06338125,0.1861875,0.17829375
0.0210375,0.19094375,0.178375
0.0143125,0.21483125,0.1776625
0.04699375,0.18874375,0.17994375
0.0492875,0.21151875,0.1815375
-0.0642,0.18250625,0.18006875
0.04130625,0.191575,0.17724375
-0.05163125,0.1887625,0.18051875
0.43373125,0.18255,0.18083125
0.21145625,0.18750625,0.18069375
0.41211875,0.17535625,0.17765
0.21344375,0.17520625,0.17958125
-0.05276875,0.178125,0.17584375
-0.05835,0.1875875,0.18335625
0.268725,0.2055,0.1849375
0.511575,0.17879375,0.18306875
0.339325,0.2165625,0.1839875
-0.0870375,0.1817625,0.18354375
0.02796875,0.21820625,0.18193125
0.2297375,0.1988875,0.1849875
-0.0882125,0.18410625,0.1841
0.25425,0.19945,0.18490625
-0.0755875,0.16429375,0.18335625
0.4120875,0.22050625,0.18338125
0.0703,0.20365625,0.18614375
0.48431875,0.1864375,0.1797625
0.2223625,0.19826875,0.18310625
0.22,0.1714625,0.1829625
0.046375,0.20675,0.18690625
0.03398125,0.20738125,0.18746875
-0.0627375,0.17465625,0.17954375
0.02975625,0.18251875,0.1785
0.3203625,0.1936375,0.18113125
0.0476125,0.212725,0.1793375
0.42666875,0.223375,0.1800125
0.30748125,0.20453125,0.183575
0.3805,0.22289375,0.1818875
0.22703125,0.174575,0.18233125
-0.03028125,0.17735,0.1844875
-0.0689375,0.18180625,0.18208125
0.04833125,0.18270625,0.18243125
-0.06399375,0.17065625,0.18358125
0.4192125,0.22534375,0.18536875
0.0699,0.18715625,0.1840375
0.00704375,0.1784375,0.185075
0.2834625,0.1997,0.18435
0.0427875,0.20556875,0.183675
0.23604375,0.19569375,0.18281875
0.3678875,0.22264375,0.18371875
0.245875,0.179975,0.18126875
0.25905625,0.19750625,0.1810125
0.4457625,0.187475,0.17970625
0.21709375,0.17991875,0.18070625
-0.065625,0.16400625,0.18090625
0.072225,0.18890625,0.18695
0.07285,0.1858375,0.17993125
-0.09880625,0.18080625,0.18283125
0.0279,0.21635625,0.18460625
0.2574125,0.17448125,0.1817125
0.06284375,0.21121875,0.182575
0.44301875,0.1822125,0.18371875
0.28893125,0.201775,0.1838
0.02545,0.20443125,0.1842375
0.4402,0.18319375,0.181775
0.24136875,0.1768125,0.18839375
0.46703125,0.1769,0.18411875
0.0228875,0.21893125,0.18435
0.0397625,0.208625,0.18563125
0.06960625,0.20701875,0.18160625
0.23613125,0.1966,0.183225
0.45041875,0.1836625,0.18323125
0.4776375,0.1743875,0.187425
0.35405,0.2166625,0.17979375
0.42825,0.2189375,0.18704375
-0.01388125,0.18363125,0.18426875
0.26104375,0.168975,0.18538125
0.3167,0.20155,0.18155625
0.03786875,0.21025,0.18380625
0.04694375,0.2111375,0.18143125
-0.0798,0.1742125,0.183325
0.45945625,0.1812875,0.18334375
-0.057325,0.1848875,0.184475
0.38846875,0.21800625,0.18539375
0.01569375,0.19424375,0.18346875
0.01945,0.2036,0.18123125
0.23734375,0.17873125,0.185475
0.41146875,0.1769,0.18455625
0.2225625,0.172725,0.18216875
0.0586,0.21188125,0.1825125
0.22273125,0.1742375,0.18318125
0.26415625,0.1963625,0.18099375
0.41386875,0.18413125,0.1842875
0.49935,0.1788875,0.184475
0.01415,0.207725,0.18249375
0.06883125,0.20418125,0.1789625
-0.03610625,0.1756125,0.18213125
-0.0646125,0.17481875,0.1819125
0.0332125,0.21440625,0.1815125
0.45579375,0.17595625,0.18348125
0.0736125,0.1855,0.18406875
0.0274,0.2059375,0.1809375
-0.06235625,0.18025625,0.1822375
-0.0616625,0.1799,0.1798375
0.2322375,0.20139375,0.18220625
0.3156375,0.19758125,0.18340625
-0.0874875,0.1747375,0.18095
0.07278125,0.20055625,0.18353125
0.09515625,0.19006875,0.18496875
0.28623125,0.19435,0.18530625
0.46773125,0.169475,0.18288125
