ancilla_thermal_n,ancilla_thermal_s,ancilla_thermal_sn
1,1,1
0.913160916,-0.26042368,-0.285189254
0.930836887,-0.013107632,-0.014081556
0.914813365,0.093629005,0.102347658
0.850391612,0.007365853,0.008661719
0.762560992,-0.046454161,-0.060918617
0.739835875,0.029076003,0.039300613
0.710061231,-0.013284701,-0.018709233
0.622499765,0.00314326,0.005049416
0.566324309,0.003259427,0.005755407
0.516886094,0.017318383,0.033505221
0.496715105,-0.001040423,-0.002094606
0.408159107,0.00572035,0.014015001
0.379128984,0.000208085,0.000548849
0.329786498,0.010068696,0.030530953
0.328062398,0.000942865,0.002874043
0.260931282,0.001052829,0.004034889
0.24397251,0.003927102,0.016096492
0.202709156,0.003929357,0.019384212
0.202907859,1.24E-05,6.11E-05
0.158455925,0.002862995,0.018068082
0.153002955,0.00108328,0.007080125
0.124933402,0.000583088,0.004667189
0.127132234,-0.000831774,-0.00654259
0.090152323,0.000905647,0.010045742
0.09751848,-0.000596622,-0.006118037
0.074983412,0.000812037,0.010829557
0.083096657,-0.000600005,-0.007220569
0.052963418,0.000500192,0.009444109
0.064412653,0.000678953,0.010540681
0.049821199,0.000777638,0.015608583
