f_det,g_vals,cphase
-113.2130128,8.2274058,-6.163591877
-109.3518944,9.94311089,-6.075247767
-105.4672379,11.59275413,-5.945495987
-101.5590168,13.17633552,-5.938572077
-97.62720479,14.69385507,-5.767412127
-93.6717751,16.14531276,-5.737156847
-89.69270091,17.53070861,-5.583998877
-85.6899552,18.85004262,-5.615068767
-81.66351078,20.10331477,-5.476381007
-77.61334026,21.29052508,-5.217125597
-73.53941609,22.41167355,-5.161155407
-69.44171052,23.46676016,-5.080542727
-65.32019563,24.45578493,-4.983940297
-61.17484328,25.37874785,-4.723897387
-57.00562519,26.23564892,-4.622018257
-52.81251284,27.02648815,-4.490279017
-48.59547756,27.75126553,-4.341611197
-44.35449047,28.40998106,-4.190351877
-40.08952248,29.00263474,-4.059777357
-35.80054432,29.52922658,-3.880433077
-31.48752652,29.98975657,-3.894172407
-27.15043942,30.38422472,-3.602993957
-22.78925312,30.71263101,-3.573887207
-18.40393757,30.97497546,-3.347636657
-13.99446246,31.17125806,-3.242555677
-9.56079732,31.30147882,-3.093459627
-5.10291143,31.36563773,-2.952667057
-0.62077389,31.36373479,-2.785245387
3.88564642,31.29577,-2.609625187
8.41638086,31.16174337,-2.551360187
12.97146098,30.96165488,-2.300032977
17.55091855,30.69550456,-2.306702207
22.15478557,30.36329238,-2.148322147
26.78309427,29.96501836,-1.986640917
31.4358771,29.50068249,-1.874323187
36.11316672,28.97028477,-1.645222987
40.81499604,28.37382521,-1.524406617
45.54139819,27.7113038,-1.360362487
50.29240655,26.98272054,-1.290834897
55.06805472,26.18807543,-1.101825217
59.86837654,25.32736848,-1.108219217
64.6934061,24.40059968,-0.922555057
69.54317772,23.40776903,-0.726608257
74.41772598,22.34887654,-0.735413927
79.31708568,21.2239222,-0.572923567
84.24129191,20.03290601,-0.501627707
89.19037997,18.77582797,-0.386506307
94.16438546,17.45268809,-0.254996847
99.16334419,16.06348636,-0.250082407
104.1872923,14.60822278,-0.181809897
