pop_a,pop_b,phase_vals
0.0067,0.0135,-1
0.0068,0.0127,-0.98
0.0108,0.0147,-0.96
0.0136,0.0274,-0.94
0.019,0.032,-0.92
0.0296,0.0413,-0.9
0.0355,0.0485,-0.88
0.0498,0.0616,-0.86
0.0634,0.0767,-0.84
0.0755,0.0913,-0.82
0.0923,0.1133,-0.8
0.1113,0.1323,-0.78
0.1334,0.1519,-0.76
0.1493,0.17,-0.74
0.1753,0.1883,-0.72
0.1943,0.2153,-0.7
0.2211,0.2417,-0.68
0.2477,0.2677,-0.66
0.2691,0.2813,-0.64
0.3017,0.3266,-0.62
0.3301,0.3516,-0.6
0.3632,0.3692,-0.58
0.386,0.4099,-0.56
0.4213,0.4299,-0.54
0.4408,0.4628,-0.52
0.4734,0.4932,-0.5
0.5099,0.5257,-0.48
0.533,0.5464,-0.46
0.5593,0.5846,-0.44
0.5963,0.6133,-0.42
0.6244,0.6327,-0.4
0.6539,0.6642,-0.38
0.6762,0.6876,-0.36
0.6954,0.7189,-0.34
0.7166,0.7377,-0.32
0.7516,0.7633,-0.3
0.7728,0.7819,-0.28
0.8008,0.8043,-0.26
0.8148,0.8264,-0.24
0.8384,0.8421,-0.22
0.8625,0.863,-0.2
0.8726,0.8751,-0.18
0.8875,0.8837,-0.16
0.9083,0.8997,-0.14
0.9156,0.9145,-0.12
0.9262,0.9144,-0.1
0.9368,0.9244,-0.08
0.9417,0.9314,-0.06
0.9501,0.94,-0.04
0.9505,0.938,-0.02
0.9547,0.9372,0
0.9524,0.9341,0.02
0.9511,0.9334,0.04
0.9464,0.9264,0.06
0.9399,0.9189,0.08
0.9321,0.9085,0.1
0.9313,0.8988,0.12
0.9162,0.8866,0.14
0.9018,0.8754,0.16
0.8794,0.8615,0.18
0.867,0.8396,0.2
0.8534,0.8211,0.22
0.825,0.7989,0.24
0.81,0.7743,0.26
0.7918,0.7569,0.28
0.7691,0.7388,0.3
0.747,0.7075,0.32
0.7238,0.6908,0.34
0.6919,0.6637,0.36
0.6664,0.6367,0.38
0.6324,0.6042,0.4
0.6174,0.5828,0.42
0.5864,0.5561,0.44
0.5535,0.5207,0.46
0.5214,0.489,0.48
0.4972,0.465,0.5
0.4576,0.4368,0.52
0.4309,0.3964,0.54
0.4077,0.3756,0.56
0.3751,0.3541,0.58
0.3439,0.3219,0.6
0.3239,0.2916,0.62
0.296,0.2566,0.64
0.2647,0.2394,0.66
0.2469,0.2184,0.68
0.2205,0.2017,0.7
0.1892,0.1752,0.72
0.1604,0.1536,0.74
0.1497,0.1249,0.76
0.1262,0.1106,0.78
0.1015,0.0922,0.8
0.0887,0.075,0.82
0.0742,0.0611,0.84
0.0586,0.0519,0.86
0.0481,0.0394,0.88
0.0341,0.0326,0.9
0.0222,0.0229,0.92
0.0175,0.0184,0.94
0.0118,0.0151,0.96
0.0076,0.0132,0.98
0.0071,0.0118,1
