d_delta,p_delta,d_phi,p_phi
1,-3.472743891,1,9.803815999
2,-6.930526243,2,13.29156737
3,-10.44662043,3,16.8057492
4,-13.88501558,4,20.23770359
5,-17.41607462,5,23.82427995
6,-20.8281203,6,27.25019168
7,-24.28166731,7,30.76813403
8,-27.71809306,8,34.2688265
9,-31.15080361,9,37.69038321
11,-38.12264155,10,41.31014941
12,-41.67121023,11,44.60595983
13,-45.15949803,12,48.30506806
14,-48.68834024,13,51.70803595
15,-52.10301927,14,55.24982685
16,-55.5837802,15,58.71916743
18,-62.67221465,16,62.0944908
19,-66.33317081,18,69.10781604
20,-70.27485193,19,72.90020563
,,20,76.17214381
