phase_chi,p_1
-0.5,0.93145
-0.494974874,0.9234
-0.489949749,0.9204
-0.484924623,0.91595
-0.479899497,0.91805
-0.474874372,0.91125
-0.469849246,0.91035
-0.464824121,0.9108
-0.459798995,0.90685
-0.454773869,0.8995
-0.449748744,0.8979
-0.444723618,0.89365
-0.439698492,0.8886
-0.434673367,0.87675
-0.429648241,0.87305
-0.424623116,0.8699
-0.41959799,0.86385
-0.414572864,0.85735
-0.409547739,0.85305
-0.404522613,0.84555
-0.399497487,0.83905
-0.394472362,0.8317
-0.389447236,0.82475
-0.384422111,0.81205
-0.379396985,0.8077
-0.374371859,0.8034
-0.369346734,0.7986
-0.364321608,0.78665
-0.359296482,0.78175
-0.354271357,0.7717
-0.349246231,0.77045
-0.344221106,0.76545
-0.33919598,0.75635
-0.334170854,0.7535
-0.329145729,0.74595
-0.324120603,0.73845
-0.319095477,0.7327
-0.314070352,0.73275
-0.309045226,0.72015
-0.304020101,0.7225
-0.298994975,0.71825
-0.293969849,0.7179
-0.288944724,0.7067
-0.283919598,0.70495
-0.278894472,0.7012
-0.273869347,0.7043
-0.268844221,0.7006
-0.263819095,0.6982
-0.25879397,0.69695
-0.253768844,0.6965
-0.248743719,0.6941
-0.243718593,0.69925
-0.238693467,0.70265
-0.233668342,0.6991
-0.228643216,0.70755
-0.22361809,0.70905
-0.218592965,0.70225
-0.213567839,0.7095
-0.208542714,0.71875
-0.203517588,0.71725
-0.198492462,0.71695
-0.193467337,0.7188
-0.188442211,0.73095
-0.183417085,0.73555
-0.17839196,0.7373
-0.173366834,0.74765
-0.168341709,0.7528
-0.163316583,0.75825
-0.158291457,0.76275
-0.153266332,0.76645
-0.148241206,0.777
-0.14321608,0.77955
-0.138190955,0.7823
-0.133165829,0.793
-0.128140704,0.8021
-0.123115578,0.80315
-0.118090452,0.80805
-0.113065327,0.81965
-0.108040201,0.82745
-0.103015075,0.8322
-0.09798995,0.84165
-0.092964824,0.85075
-0.087939698,0.85205
-0.082914573,0.85555
-0.077889447,0.8716
-0.072864322,0.8714
-0.067839196,0.8838
-0.06281407,0.8833
-0.057788945,0.8885
-0.052763819,0.89535
-0.047738693,0.9
-0.042713568,0.9007
-0.037688442,0.90775
-0.032663317,0.9147
-0.027638191,0.91225
-0.022613065,0.9164
-0.01758794,0.9178
-0.012562814,0.91945
-0.007537688,0.92295
-0.002512563,0.9215
0.002512563,0.92105
0.007537688,0.923
0.012562814,0.92045
0.01758794,0.91895
0.022613065,0.91855
0.027638191,0.9154
0.032663317,0.9134
0.037688442,0.9087
0.042713568,0.91945
0.047738693,0.9054
0.052763819,0.89745
0.057788945,0.8968
0.06281407,0.88585
0.067839196,0.8857
0.072864322,0.8836
0.077889447,0.8703
0.082914573,0.86345
0.087939698,0.85985
0.092964824,0.849
0.09798995,0.8475
0.103015075,0.82995
0.108040201,0.8287
0.113065327,0.8247
0.118090452,0.81975
0.123115578,0.81005
0.128140704,0.80455
0.133165829,0.8001
0.138190955,0.79135
0.14321608,0.78625
0.148241206,0.7784
0.153266332,0.77165
0.158291457,0.765
0.163316583,0.759
0.168341709,0.75735
0.173366834,0.747
0.17839196,0.74935
0.183417085,0.7374
0.188442211,0.7334
0.193467337,0.72495
0.198492462,0.7274
0.203517588,0.7252
0.208542714,0.7099
0.213567839,0.71275
0.218592965,0.7127
0.22361809,0.7073
0.228643216,0.71005
0.233668342,0.7052
0.238693467,0.70105
0.243718593,0.7059
0.248743719,0.70555
0.253768844,0.70625
0.25879397,0.70585
0.263819095,0.6986
0.268844221,0.706
0.273869347,0.7067
0.278894472,0.7122
0.283919598,0.7152
0.288944724,0.717
0.293969849,0.71615
0.298994975,0.72005
0.304020101,0.73055
0.309045226,0.73565
0.314070352,0.74435
0.319095477,0.74755
0.324120603,0.7484
0.329145729,0.7559
0.334170854,0.7532
0.33919598,0.76325
0.344221106,0.76825
0.349246231,0.7769
0.354271357,0.7821
0.359296482,0.7853
0.364321608,0.79175
0.369346734,0.80365
0.374371859,0.8093
0.379396985,0.81395
0.384422111,0.8254
0.389447236,0.82755
0.394472362,0.83505
0.399497487,0.8403
0.404522613,0.8502
0.409547739,0.8572
0.414572864,0.86045
0.41959799,0.8672
0.424623116,0.87245
0.429648241,0.8777
0.434673367,0.88775
0.439698492,0.8901
0.444723618,0.8949
0.449748744,0.89865
0.454773869,0.90485
0.459798995,0.90885
0.464824121,0.91275
0.469849246,0.9142
0.474874372,0.9178
0.479899497,0.91765
0.484924623,0.92255
0.489949749,0.917
0.494974874,0.9202
0.5,0.9222
