nn_mbl_1,nn_mbl_2,nn_mbl_3,nn_mbl_4,nn_mbl_5,nn_mbl_6,nn_mbl_7,nn_mbl_8,nn_mbl_9,nn_mbl_10,nn_mbl_11,nn_mbl_12,nn_mbl_13,nn_mbl_14,nn_mbl_15,nn_mbl_16,nn_mbl_17,nn_mbl_18,nn_mbl_19,nn_mbl_20,n_mbl_1,n_mbl_2,n_mbl_3,n_mbl_4,n_mbl_5,n_mbl_6,n_mbl_7,n_mbl_8,n_mbl_9,n_mbl_10,n_mbl_11,n_mbl_12,n_mbl_13,n_mbl_14,n_mbl_15,n_mbl_16,n_mbl_17,n_mbl_18,n_mbl_19,n_mbl_20,nn_thermal_1,nn_thermal_2,nn_thermal_3,nn_thermal_4,nn_thermal_5,nn_thermal_6,nn_thermal_7,nn_thermal_8,nn_thermal_9,nn_thermal_10,nn_thermal_11,nn_thermal_12,nn_thermal_13,nn_thermal_14,nn_thermal_15,nn_thermal_16,nn_thermal_17,nn_thermal_18,nn_thermal_19,nn_thermal_20,n_thermal_1,n_thermal_2,n_thermal_3,n_thermal_4,n_thermal_5,n_thermal_6,n_thermal_7,n_thermal_8,n_thermal_9,n_thermal_10,n_thermal_11,n_thermal_12,n_thermal_13,n_thermal_14,n_thermal_15,n_thermal_16,n_thermal_17,n_thermal_18,n_thermal_19,n_thermal_20
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.985604832,0.984434216,0.982793971,0.984061222,0.977061807,0.980391733,0.982140777,0.982564359,0.980538424,0.982484397,0.983323273,0.98041789,0.981941722,0.983047779,0.980276383,0.978350737,0.983986137,0.982217193,0.984778418,0.987050302,-0.98413632,-0.969764965,-0.973745826,-0.980787752,-0.961650013,-0.972928459,-0.978247203,-0.980025637,-0.979144507,-0.982899865,-0.982650334,-0.978653915,-0.979339584,-0.977839275,-0.976235103,-0.961923813,-0.980700386,-0.975420067,-0.974478195,-0.985824959,0.981256095,0.977925878,0.976788913,0.975562342,0.979525502,0.976870819,0.975181093,0.972558737,0.967630294,0.972357022,0.972238058,0.96831244,0.972615937,0.9753648,0.977785948,0.979646642,0.974664012,0.977391256,0.976908946,0.981157903,-0.337283227,-0.310949954,-0.322989227,-0.329631672,-0.353539464,-0.324926856,-0.325636491,-0.342643745,-0.338508847,-0.342105961,-0.340674809,-0.333714635,-0.339158279,-0.328824283,-0.324210413,-0.354199327,-0.329001232,-0.322165486,-0.321020701,-0.337667026
0.971991443,0.968879367,0.966315242,0.970126661,0.958149759,0.961146679,0.965140412,0.966186061,0.958943341,0.966810505,0.96586167,0.959053949,0.965149794,0.966226878,0.96286429,0.954455807,0.96970665,0.965607377,0.968265431,0.973177782,0.96483543,0.950183435,0.953757926,0.962132693,0.941196018,0.94804682,0.956797061,0.957758697,0.956353587,0.964754449,0.960782922,0.95157997,0.956625294,0.957541424,0.955180045,0.94224737,0.960952104,0.958586425,0.949802693,0.968511942,0.960399712,0.945191126,0.937244254,0.937830917,0.943745205,0.938703392,0.934453563,0.931786834,0.931613384,0.932943183,0.934218994,0.928352731,0.931293455,0.93514143,0.940810256,0.942010108,0.936525468,0.936383954,0.946111679,0.960603845,0.1148093,0.096258251,0.08628846,0.121380409,0.165267182,0.097739041,0.123947704,0.091729875,0.099830045,0.124112923,0.136512936,0.090794293,0.122855943,0.134977412,0.085579684,0.126230341,0.016958962,0.117955202,0.057950471,0.099632497
0.960718682,0.953107038,0.946538104,0.955101689,0.938230856,0.941165266,0.947847129,0.947646456,0.936553875,0.950181147,0.948418879,0.936675591,0.946462647,0.948589405,0.940879439,0.942313925,0.953202502,0.943364335,0.949427895,0.961661191,-0.952559884,-0.915070533,-0.922225702,-0.940389624,-0.906951534,-0.922777109,-0.93340686,-0.931678263,-0.933574672,-0.945791029,-0.94070868,-0.92909613,-0.931740862,-0.930324282,-0.931097996,-0.919162884,-0.937152918,-0.930826768,-0.917654589,-0.954556856,0.926934058,0.914635662,0.897138537,0.896748099,0.895468635,0.898606274,0.890891265,0.884757014,0.887824842,0.886279213,0.882580272,0.88649183,0.88383889,0.889200922,0.900627035,0.893297258,0.895485211,0.896909526,0.914396237,0.929085672,-0.031370694,0.005898135,-0.013266633,-0.056271434,-0.092378685,-0.043589993,-0.061407306,0.00572846,-0.067259493,-0.027870139,-0.078557586,-0.014860073,-0.024575294,-0.040398966,-0.034995243,-0.037322699,0.002937819,-0.035836667,-0.009634906,-0.049762075
0.94709973,0.937274814,0.929747235,0.938038943,0.913915066,0.918840541,0.926472816,0.92860673,0.911358971,0.931881872,0.932088454,0.911778963,0.928484391,0.929125739,0.923691531,0.920954223,0.938550551,0.927830346,0.934873118,0.950813581,0.943994338,0.894346606,0.898530567,0.916709092,0.889055592,0.894743217,0.90861401,0.904185673,0.902966841,0.921880448,0.919353929,0.898525549,0.906761051,0.906229581,0.904293585,0.89220604,0.912520414,0.909639868,0.886830466,0.945342555,0.899534616,0.869593403,0.850380758,0.8462001,0.850568686,0.840666668,0.832812913,0.821416799,0.817541738,0.815185781,0.814321687,0.815168113,0.822056105,0.834079868,0.840199664,0.847827941,0.844546354,0.851506766,0.869126416,0.901927882,0.099482688,0.049652523,0.042759062,0.021364065,0.093851973,0.060351707,0.037035306,0.024142634,0.041857163,0.066176678,0.042174476,0.039674229,0.027086747,0.062775487,0.022329994,0.047271068,0.029464227,0.054933537,0.043898974,0.13934795
0.936039092,0.921966061,0.909975652,0.923877222,0.902173262,0.901517256,0.909348097,0.911540023,0.886739769,0.915181253,0.914723886,0.887180154,0.911743192,0.910874781,0.90334192,0.899620847,0.92367654,0.906567842,0.916270084,0.939145796,-0.931846347,-0.860956329,-0.867331231,-0.893347804,-0.857178377,-0.870968176,-0.886432078,-0.877113208,-0.881434941,-0.903874723,-0.902741364,-0.877076893,-0.883407512,-0.882443389,-0.881466829,-0.874521415,-0.88634485,-0.885040708,-0.863353121,-0.934757919,0.860833663,0.838848009,0.807442418,0.799869195,0.786851246,0.782126942,0.774001776,0.767170003,0.75889788,0.756287209,0.753494084,0.757844555,0.760847689,0.771702787,0.780549261,0.780304289,0.797259162,0.805719087,0.832408377,0.862221014,-0.133492532,0.020899149,-0.028486206,-0.01245272,-0.04140264,-0.043478737,-0.024465029,-0.02939163,-0.017915683,-0.052673129,-0.025040805,-0.032104244,-0.010971745,-0.050321891,-0.016251847,-0.049490726,-0.044685179,-0.026076374,0.020221165,-0.10383096
0.923842325,0.906628861,0.893632498,0.908397422,0.868942511,0.879575057,0.889766172,0.890719808,0.859388634,0.898503432,0.897640966,0.865614574,0.893263359,0.893596692,0.882531917,0.879032835,0.904821071,0.88763739,0.900970252,0.92677022,0.920507849,0.83832482,0.845772207,0.871634627,0.831274026,0.843205653,0.859726232,0.84781701,0.849787303,0.881638695,0.883161067,0.848942373,0.860212452,0.859979065,0.853810762,0.848902284,0.86397079,0.867740547,0.839387126,0.925877846,0.826189899,0.786343599,0.754464754,0.740503565,0.732664647,0.716046182,0.707104884,0.68856699,0.678933725,0.675127519,0.672601993,0.675255196,0.687944086,0.702099099,0.711227451,0.727304915,0.737034183,0.757629464,0.782659853,0.828100145,0.146896341,0.024256767,0.036846697,0.025492327,0.041954402,0.047655349,0.017101559,0.037640398,0.042207322,0.047827235,0.040494516,0.050470821,0.032839821,0.051317633,0.046741706,0.040703796,0.055894727,0.030549935,0.002277766,0.120427136
0.911769448,0.889886846,0.872259607,0.892052049,0.858766704,0.861422976,0.875902047,0.873995245,0.829038405,0.875294817,0.882589595,0.840681789,0.875498051,0.877225193,0.860505788,0.870281266,0.890826277,0.870180468,0.884806407,0.916213831,-0.908932969,-0.809487067,-0.812738678,-0.848417601,-0.812243101,-0.816824582,-0.838738011,-0.818057472,-0.822365815,-0.860701201,-0.860188262,-0.825587753,-0.836551758,-0.838486759,-0.835652992,-0.83159107,-0.84224191,-0.8413879,-0.822947633,-0.915604588,0.786729041,0.752591726,0.710477154,0.691491233,0.668701076,0.654485743,0.64020661,0.629102851,0.620586182,0.616201403,0.614844105,0.616993684,0.620499447,0.633555768,0.647556805,0.656406289,0.686840701,0.707378079,0.744723217,0.787368666,-0.090620476,-0.042540961,-0.032294886,-0.002198828,-0.018312986,-0.017857218,-0.018809639,-0.022630433,-0.017175336,-0.025337046,-0.030344516,-0.032442336,-0.015410335,-0.014530317,-0.009207099,-0.020107766,-0.027488056,-0.026481316,-0.015964104,-0.061187864
0.900746576,0.87237983,0.85065164,0.875152914,0.832865192,0.837878475,0.852786655,0.852316375,0.812158085,0.865807833,0.864383058,0.814678384,0.855787968,0.860088687,0.844543096,0.838998313,0.87113894,0.850720307,0.869541871,0.90429447,0.896531104,0.787220162,0.791968137,0.83158355,0.786989998,0.792475057,0.811978048,0.788547665,0.79237385,0.840412359,0.844314423,0.8008317,0.813939319,0.818123694,0.80743686,0.803643782,0.819331254,0.824029866,0.800894065,0.902969666,0.743851989,0.694025042,0.651415156,0.631263897,0.610825102,0.585144669,0.570135365,0.551640883,0.537423489,0.537530659,0.536243605,0.538804279,0.550947812,0.56777142,0.581180272,0.603896829,0.627480874,0.65194984,0.691153518,0.749048239,0.100128651,0.042133431,0.046648752,0.026088053,0.0377117,0.020516055,0.019313576,0.028687423,0.023268074,0.019434336,0.025599495,0.032293456,0.025924352,0.019760213,0.030899827,0.014513236,0.035365561,0.033717386,0.054456843,0.13584384
0.888573002,0.85655975,0.835124581,0.859474527,0.816410928,0.826237539,0.839566768,0.835782417,0.784314308,0.848218638,0.851227119,0.7918073,0.83929795,0.845268445,0.819807256,0.826771083,0.855215808,0.8339044,0.85350301,0.892483399,-0.884908681,-0.76383201,-0.764799566,-0.809348771,-0.773395,-0.770152639,-0.791885665,-0.761961783,-0.76759377,-0.821884026,-0.824686952,-0.775496556,-0.791402633,-0.793618515,-0.787848596,-0.778638306,-0.798317191,-0.795845433,-0.7870317,-0.890142682,0.704683546,0.65809853,0.609558462,0.5839259,0.551693623,0.528709857,0.507924359,0.493642487,0.481708817,0.480940224,0.477620864,0.482015349,0.489499177,0.501624879,0.519153778,0.534578248,0.57318537,0.601869217,0.649927391,0.705383605,-0.084390778,-0.019506123,-0.008067386,-0.006381359,-0.009566403,-0.000320071,-0.023180858,-0.017692536,-0.016031496,-0.007518061,-0.020406583,-0.016155833,-0.010782258,-0.009460156,-0.010705671,-0.004731194,-0.018311794,-0.003613495,-0.021392959,-0.06458379
